musclesId,musclesName,equipmentId,equipmentName,image,gender,ordering,video_center,video_side
26,wrist-flexors,7,Kettlebells,https://media.musclewiki.com/media/uploads/og-male-Kettlebells-kettlebell-bench-wrist-curl-side.jpg,male,-weight,https://media.musclewiki.com/media/uploads/videos/branded/male-Kettlebells-kettlebell-bench-wrist-curl-side.mp4,https://media.musclewiki.com/media/uploads/videos/branded/male-Kettlebells-kettlebell-bench-wrist-curl-front.mp4
26,wrist-flexors,7,Kettlebells,https://media.musclewiki.com/media/uploads/og-female-Kettlebells-kettlebell-bench-wrist-curl-front.jpg,female,-weight,https://media.musclewiki.com/media/uploads/videos/branded/female-Kettlebells-kettlebell-bench-wrist-curl-front.mp4,https://media.musclewiki.com/media/uploads/videos/branded/female-Kettlebells-kettlebell-bench-wrist-curl-side.mp4
26,wrist-flexors,7,Kettlebells,https://media.musclewiki.com/media/uploads/og-male-Kettlebells-kettlebell-single-arm-farmers-march-front.jpg,male,-weight,https://media.musclewiki.com/media/uploads/videos/branded/male-Kettlebells-kettlebell-single-arm-farmers-march-front.mp4,https://media.musclewiki.com/media/uploads/videos/branded/male-Kettlebells-kettlebell-single-arm-farmers-march-side.mp4
26,wrist-flexors,7,Kettlebells,https://media.musclewiki.com/media/uploads/og-female-Kettlebells-kettlebell-single-arm-farmers-march-front.jpg,female,-weight,https://media.musclewiki.com/media/uploads/videos/branded/female-Kettlebells-kettlebell-single-arm-farmers-march-front.mp4,https://media.musclewiki.com/media/uploads/videos/branded/female-Kettlebells-kettlebell-single-arm-farmers-march-side.mp4
26,wrist-flexors,7,Kettlebells,https://media.musclewiki.com/media/uploads/og-male-Kettlebells-kettlebell-walking-farmers-march-side.jpg,male,-weight,https://media.musclewiki.com/media/uploads/videos/branded/male-Kettlebells-kettlebell-walking-farmers-march-side.mp4,https://media.musclewiki.com/media/uploads/videos/branded/male-Kettlebells-kettlebell-walking-farmers-march-front.mp4
26,wrist-flexors,7,Kettlebells,https://media.musclewiki.com/media/uploads/og-female-Kettlebells-kettlebell-walking-farmers-march-side.jpg,female,-weight,https://media.musclewiki.com/media/uploads/videos/branded/female-Kettlebells-kettlebell-walking-farmers-march-side.mp4,https://media.musclewiki.com/media/uploads/videos/branded/female-Kettlebells-kettlebell-walking-farmers-march-front.mp4
26,wrist-flexors,7,Kettlebells,https://media.musclewiki.com/media/uploads/og-male-Kettlebells-kettlebell-bench-wrist-curl-side.jpg,male,+weight,https://media.musclewiki.com/media/uploads/videos/branded/male-Kettlebells-kettlebell-bench-wrist-curl-side.mp4,https://media.musclewiki.com/media/uploads/videos/branded/male-Kettlebells-kettlebell-bench-wrist-curl-front.mp4
26,wrist-flexors,7,Kettlebells,https://media.musclewiki.com/media/uploads/og-female-Kettlebells-kettlebell-bench-wrist-curl-front.jpg,female,+weight,https://media.musclewiki.com/media/uploads/videos/branded/female-Kettlebells-kettlebell-bench-wrist-curl-front.mp4,https://media.musclewiki.com/media/uploads/videos/branded/female-Kettlebells-kettlebell-bench-wrist-curl-side.mp4
26,wrist-flexors,7,Kettlebells,https://media.musclewiki.com/media/uploads/og-male-Kettlebells-kettlebell-single-arm-farmers-march-front.jpg,male,+weight,https://media.musclewiki.com/media/uploads/videos/branded/male-Kettlebells-kettlebell-single-arm-farmers-march-front.mp4,https://media.musclewiki.com/media/uploads/videos/branded/male-Kettlebells-kettlebell-single-arm-farmers-march-side.mp4
26,wrist-flexors,7,Kettlebells,https://media.musclewiki.com/media/uploads/og-female-Kettlebells-kettlebell-single-arm-farmers-march-front.jpg,female,+weight,https://media.musclewiki.com/media/uploads/videos/branded/female-Kettlebells-kettlebell-single-arm-farmers-march-front.mp4,https://media.musclewiki.com/media/uploads/videos/branded/female-Kettlebells-kettlebell-single-arm-farmers-march-side.mp4
